time,valor
0.0,66.18717964978896
0.005,68.18369648978016
0.01,70.1798685864275
0.015,72.17317192431264
0.02,74.16113414818011
0.025,76.141345287448
0.03,78.11145285954639
0.035,80.06914756386172
0.04,82.01215978237207
0.045,83.93826563581956
0.05,85.8452844256655
0.055,87.73107561884632
0.06,89.59355343511474
0.065,91.43070074676807
0.07,93.24055598770218
0.075,95.02118974438937
0.08,96.77069834557095
0.085,98.48720952027534
0.09,100.16889334132519
0.095,101.81397727207178
0.1,103.42074807280552
0.105,104.987534248188
0.11,106.5126852442774
0.115,107.9945642737748
0.12,109.43155931228563
0.125,110.82209815836734
0.13,112.16465576497025
0.135,113.45775503982736
0.14,114.69996020084372
0.145,115.88986804103197
0.15,117.02610759235361
0.155,118.10735338994732
0.16,119.13234966829762
0.165,120.09993142685498
0.17,121.00903334656056
0.17500000000000002,121.8586857732904
0.18,122.64799613640315
0.185,123.37612691356374
0.19,124.04229011543426
0.195,124.6457566518116
0.2,125.18586095660378
0.20500000000000002,125.66199458633687
0.21,126.07360296478336
0.215,126.42019684810785
0.22,126.70136036090206
0.225,126.91673661841628
0.23,127.06601053634245
0.23500000000000001,127.14890901199645
0.24,127.16521083474775
0.245,127.11476232105146
0.25,126.99749748988748
0.255,126.81344502806867
0.26,126.56272145898389
0.265,126.24553301379461
0.27,125.862182595789
0.275,125.41306587487918
0.28,124.89866889930485
0.28500000000000003,124.31957853800914
0.29,123.6764939937755
0.295,122.97023119305666
0.3,122.201716128443
0.305,121.37196044107789
0.31,120.48203591148594
0.315,119.53307044073668
0.32,118.52625262936628
0.325,117.46283215759425
0.33,116.34412578667386
0.335,115.17152039454895
0.34,113.94645960833556
0.34500000000000003,112.67043161951482
0.35000000000000003,111.34497065860232
0.355,109.97165868106843
0.36,108.55211935805511
0.365,107.08801476993094
0.37,105.5810549972387
0.375,104.03300416209152
0.38,102.44566298183854
0.385,100.82084609984952
0.39,99.16038135441843
0.395,97.46612270026186
0.4,95.73995906483022
0.405,93.98382354681743
0.41000000000000003,92.19970130512382
0.41500000000000004,90.38962328569771
0.42,88.55565375114597
0.425,86.69988323688635
0.43,84.8244242970508
0.435,82.9314129206768
0.44,81.023018662884
0.445,79.10145216663133
0.45,77.1689530593507
0.455,75.22776635301845
0.46,73.2801332221095
0.465,71.3282896903974
0.47000000000000003,69.37445663460136
0.47500000000000003,67.42083435087554
0.48,65.46961005759613
0.485,63.52296363843874
0.49,61.58306560584201
0.495,59.65207390606176
0.5,57.732134913257674
0.505,55.82538754171303
0.51,53.93396353544762
0.515,52.059986439875715
0.52,50.205571757958815
0.525,48.37281736074517
0.53,46.56378666279238
0.535,44.78050121440155
0.54,43.02494392636385
0.545,41.299067404918006
0.55,39.60479630281239
0.555,37.94401524984184
0.56,36.31856401939215
0.5650000000000001,34.73024047169308
0.5700000000000001,33.180783469541055
0.5750000000000001,31.671851654351983
0.58,30.20503108062909
0.585,28.781861229547097
0.59,27.403844075805083
0.595,26.072431364934232
0.6,24.789017264487477
0.605,23.554943928469015
0.61,22.371505938422224
0.615,21.23994497299324
0.62,20.161444800302867
0.625,19.13714594847555
0.63,18.16816721699788
0.635,17.255604751234358
0.64,16.400509196295687
0.645,15.60385956285586
0.65,14.866547424531074
0.655,14.189370104062444
0.66,13.573028972782089
0.665,13.01813891012659
0.67,12.525242074778014
0.675,12.094813839211927
0.68,11.727262937751837
0.685,11.422937429727817
0.6900000000000001,11.18214380627223
0.6950000000000001,11.005155830902451
0.7000000000000001,10.892193766470516
