time,AngRodilla
0.0,63.842053486201735
0.005,67.29047730572677
0.01,70.64302584175599
0.015,73.87982890634581
0.02,76.98603453909047
0.025,79.95072112112942
0.03,82.76594596088579
0.035,85.42631456480714
0.04,87.92867481299753
0.045,90.27236593064096
0.05,92.45997097835682
0.055,94.49682749996097
0.06,96.38903147645084
0.065,98.14201916529848
0.07,99.76046906211825
0.075,101.24923165207123
0.08,102.61452326961033
0.085,103.8642056414478
0.09,105.00719508374596
0.095,106.05259161812084
0.1,107.00944780117143
0.105,107.88684638041968
0.11,108.6927925192424
0.115,109.4329265221067
0.12,110.11028871839102
0.125,110.72520048421518
0.13,111.27481473703193
0.135,111.75308318229666
0.14,112.15221132745103
0.145,112.4651773753902
0.15,112.68659657308461
0.155,112.81179356395702
0.16,112.83683736150974
0.165,112.75899899476353
0.17,112.57648159021997
0.17500000000000002,112.28893722542114
0.18,111.89809898803824
0.185,111.40685374621738
0.19,110.81813668478898
0.195,110.13548313992067
0.2,109.36396236219389
0.20500000000000002,108.50897332476434
0.21,107.57384056273057
0.215,106.5589599259268
0.22,105.46330231553341
0.225,104.28692590444064
0.23,103.03193377003325
0.23500000000000001,101.70125487126006
0.24,100.29711420866599
0.245,98.82114229033184
0.25,97.27616696775688
0.255,95.66699237815172
0.26,93.99914581454502
0.265,92.27862813243867
0.27,90.51330485308824
0.275,88.71234703475507
0.28,86.88385613878289
0.28500000000000003,85.03417167078226
0.29,83.16803173515399
0.295,81.2874898821039
0.3,79.39134701785048
0.305,77.476629567419
0.31,75.54062571417164
0.315,73.58218313019387
0.32,71.60209574160007
0.325,69.60233109617637
0.33,67.58501520064726
0.335,65.55203169268111
0.34,63.50519752481626
0.34500000000000003,61.447468310911866
0.35000000000000003,59.38402701364913
0.355,57.32160816576436
0.36,55.2671509794458
0.365,53.227447766593954
0.37,51.209844928458594
0.375,49.222908009484115
0.38,47.27574243651823
0.385,45.37640615941737
0.39,43.53094791540567
0.395,41.74312243037849
0.4,40.01490871900157
0.405,38.34807512128853
0.41000000000000003,36.745435176455274
0.41500000000000004,35.211076804596274
0.42,33.75013784818664
0.425,32.36852194954312
0.43,31.07273536268463
0.435,29.870042687441018
0.44,28.768488019290526
0.445,27.77586857109998
0.45,26.89863956796491
0.455,26.14233114349611
0.46,25.512153190278713
0.465,25.012143498132904
0.47000000000000003,24.64437790143941
0.47500000000000003,24.410258562338395
0.48,24.312245057068882
0.485,24.352870026330766
0.49,24.532324167266903
0.495,24.848486307294632
0.5,25.298898567062952
0.505,25.88163333263179
0.51,26.595096452041727
0.515,27.437430496121348
0.52,28.405244212076237
0.525,29.49321483459833
0.53,30.69475197377204
0.535,32.001689997585274
0.54,33.403869337839296
0.545,34.89053482632427
0.55,36.45201467755737
0.555,38.07997478473017
0.56,39.76757586182967
0.5650000000000001,41.51035377529723
0.5700000000000001,43.306347530527404
0.5750000000000001,45.15469433665065
0.58,47.054104212238926
0.585,49.00226434490857
0.59,50.99516428307973
0.595,53.02623019327081
0.6,55.08664807976247
0.605,57.16678944770112
0.61,59.257601736806066
0.615,61.351448132544704
0.62,63.442164762844115
0.625,65.52415800157465
0.63,67.59137345668915
0.635,69.63766273414373
0.64,71.65800637493791
0.645,73.6484233823401
0.65,75.60536828163634
0.655,77.52645041276773
0.66,79.41084501249026
0.665,81.25867694647826
0.67,83.07105868175836
0.675,84.85039551043371
0.68,86.59960305721816
0.685,88.32060525744978
0.6900000000000001,90.01377226279095
0.6950000000000001,91.6784365769331
0.7000000000000001,93.31293019169408
0.705,94.91450245534884
0.71,96.47941023269877
0.715,98.00248347243488
0.72,99.47772016063814
0.725,100.89978325482701
0.73,102.26414328231388
0.735,103.56718639557634
0.74,104.8073685957483
0.745,105.98485204419563
0.75,107.0991405045331
0.755,108.14756728809857
0.76,109.12612142420323
0.765,110.03105768305173
0.77,110.8593739677793
0.775,111.60867711470493
0.78,112.27735007107606
0.785,112.86369396117496
0.79,113.3638788860431
0.795,113.77103947195074
0.8,114.07638519848865
0.805,114.27124106552992
0.81,114.34902119044153
0.8150000000000001,114.30667006682981
0.8200000000000001,114.14518092391606
0.8250000000000001,113.86898736240673
0.8300000000000001,113.48491313571711
0.835,113.00095620422692
0.84,112.42499401223476
0.845,111.76468221152399
0.85,111.02795369630786
0.855,110.22198337787759
0.86,109.35154413965074
0.865,108.41871227547611
0.87,107.42315614653785
0.875,106.36233349844167
0.88,105.23261206947252
0.885,104.03068206109296
0.89,102.75352856613495
0.895,101.39753627700196
0.9,99.9585793972936
0.905,98.4331175874104
0.91,96.81917901208597
0.915,95.11718224260898
0.92,93.33057393881779
0.925,91.4656109278808
0.93,89.53018126233556
0.935,87.53291927688605
0.9400000000000001,85.48393270433243
0.9450000000000001,83.3961173963097
0.9500000000000001,81.28507271699894
0.9550000000000001,79.16721553727123
0.96,77.05743299349055
0.965,74.96769915012237
0.97,72.90638063142006
0.975,70.87829608153837
0.98,68.88624896397295
0.985,66.9320191084843
0.99,65.01542192067441
0.995,63.134511580272104
1.0,61.28833633096152
1.0050000000000001,59.47862138908309
1.01,57.707970166731045
1.0150000000000001,55.97725139352532
1.02,54.28552570797618
1.025,52.63159250629721
1.03,51.01460340200028
1.035,49.43393989976299
1.04,47.88951661050819
1.045,46.38238443288816
1.05,44.91513299842242
1.055,43.4916380235411
1.06,42.11656481824409
1.065,40.79511711494928
1.07,39.53212353437931
1.075,38.331152594416025
1.08,37.19516494249817
1.085,36.126872556753966
1.09,35.127036468885365
1.095,34.19305346510099
1.1,33.32034036614675
1.105,32.504487942114906
1.11,31.741390215967453
1.115,31.027114871473938
1.12,30.35942643103736
1.125,29.738962412598358
1.1300000000000001,29.169154860649773
1.135,28.656191945329294
1.1400000000000001,28.20869415535577
1.145,27.836453196569142
1.1500000000000001,27.549172534754984
1.155,27.356424485159852
1.16,27.268116440263857
1.165,27.293805217652523
1.17,27.441693426547214
1.175,27.718118246396624
1.18,28.12679670296391
1.185,28.66860821406534
1.19,29.34189977258327
1.195,30.142561101085636
1.2,31.065284224714876
1.205,32.10537517377239
1.21,33.25862339270995
1.215,34.520245737169674
1.22,35.88518888460288
1.225,37.34936653833327
1.23,38.91016274901312
1.235,40.566110260806305
1.24,42.316074579237835
1.245,44.157443298418755
1.25,46.08451935038238
1.2550000000000001,48.08891527149288
1.26,50.16121171305056
1.2650000000000001,52.292457045165264
1.27,54.474849280917006
1.2750000000000001,56.70123813211534
1.28,58.96388416362235
1.285,61.252960962019216
1.29,63.55559863041107
1.295,65.85678547108125
1.3,68.14160203798306
1.305,70.3970830306693
1.31,72.61337791560094
1.315,74.78461753466445
1.32,76.90920780770219
1.325,78.98925547526784
1.33,81.02923965514152
1.335,83.03375062914336
1.34,85.00520721277974
1.345,86.94358585804889
1.35,88.84760179078901
1.355,90.71506260657824
1.36,92.54260422634522
1.365,94.32587532145367
1.37,96.05988060151358
1.375,97.7393013150122
1.3800000000000001,99.35842040959659
1.385,100.91026263175758
1.3900000000000001,102.38638448934769
1.395,103.778383283198
1.4000000000000001,105.07905904455083
1.405,106.28188009959305
1.41,107.38064319028008
1.415,108.37011601255034
1.42,109.24650639989997
1.425,110.00749164611571
1.43,110.6521588422138
1.435,111.1811074299844
1.44,111.5965439363042
1.445,111.90141531422
1.45,112.09808868751736
1.455,112.18836308713907
1.46,112.17384456583981
1.465,112.05547672107471
1.47,111.83399889649846
1.475,111.51145793460353
1.48,111.09136242625654
1.485,110.57681080564336
1.49,109.96849631975701
1.495,109.26501232692323
1.5,108.46585322353317
1.5050000000000001,107.57441059450088
1.51,106.5978277382321
1.5150000000000001,105.54404421415049
1.52,104.41914144244625
1.5250000000000001,103.22718458391188
1.53,101.97253168632676
1.5350000000000001,100.66206264366669
1.54,99.30428633612752
1.545,97.9063079320607
1.55,96.47241776693247
1.555,95.00509369704821
1.56,93.50597350972225
1.565,91.97569635607701
1.57,90.41388788996366
1.575,88.82018106153166
1.58,87.19507066780275
1.585,85.53924232666328
1.59,83.8525010541839
1.595,82.13365084612738
