time,ML,AP
0.0,2.059447065864566,-2.70622719296995
0.01,2.0096984283577246,-2.706276992529859
0.02,1.9617134754858236,-2.7047614694564603
0.03,1.9165364429378555,-2.6982793987643374
0.04,1.8747723832364416,-2.6843984552341342
0.05,1.836815305675927,-2.6627539957390485
0.06,1.8030541934515043,-2.6345675410303167
0.07,1.7738329358597176,-2.6010097254739977
0.08,1.7493368779979326,-2.5621879604379747
0.09,1.7294492810708542,-2.517740746184353
0.1,1.7137464098425286,-2.468162708944753
0.11,1.701723443612227,-2.415454750184044
0.12,1.692911704415881,-2.362651955891465
0.13,1.6868405167165703,-2.312484772800653
0.14,1.682898753455929,-2.266332884057613
0.15,1.6800438389843477,-2.2248242773758014
0.16,1.676844813457362,-2.1888623236942064
0.17,1.6721218087954315,-2.1592488681737185
0.18,1.6654450526015814,-2.1360611381782055
0.19,1.6570037417416872,-2.1187874461738385
0.2,1.6472473671012022,-2.1064778380095075
0.21,1.6367152536284209,-2.097916236999553
0.22,1.6260711836108497,-2.091771916339873
0.23,1.6160471297717378,-2.0866232129611704
0.24,1.6072401439623092,-2.0811612352165856
0.25,1.600040942815511,-2.0742730881197766
0.26,1.594571682090137,-2.0651485424118006
0.27,1.5905122581993876,-2.053799143073835
0.28,1.5871335291550648,-2.041618118289871
0.29,1.5837187411552398,-2.0311291756488297
0.3,1.579975815788956,-2.0244469067392603
0.31,1.5758733702924386,-2.022040404581005
0.32,1.5712956463090222,-2.0235385911349257
0.33,1.5662259297349972,-2.029098218075241
0.34,1.5609855836387034,-2.039154129700854
0.35000000000000003,1.5559712853062304,-2.053375336074909
0.36,1.551336621306376,-2.070673881308867
0.37,1.5469605698515636,-2.0901441246105676
0.38,1.5424242928158676,-2.111794721435841
0.39,1.5369658703088929,-2.1364095139639607
0.4,1.5297597369807048,-2.1645601332702014
0.41000000000000003,1.5203513763476548,-2.195638175106881
0.42,1.5087273706153526,-2.227917579053806
0.43,1.4951091730224577,-2.2594571658158276
0.44,1.4798779051085909,-2.288564553453196
0.45,1.4636918441201396,-2.3134881805477323
0.46,1.447629062134526,-2.3325085239169456
0.47000000000000003,1.4331598370376653,-2.3449731433675476
0.48,1.4217698076496668,-2.352212711298038
0.49,1.414281057957271,-2.3571021191344714
0.5,1.4104235999351167,-2.362631685055392
0.51,1.4091824294608981,-2.3708379493234046
0.52,1.409568240954915,-2.3824334881887914
0.53,1.411012571479388,-2.3969413820549526
0.54,1.413166489649684,-2.4133525267571456
0.55,1.4155640968042,-2.430936218641094
0.56,1.4175574657203263,-2.449469229875911
0.5700000000000001,1.4184949050282234,-2.468603102592704
0.58,1.417948974659235,-2.4877184240340555
0.59,1.4158915615028744,-2.5071650013810354
0.6,1.4127929499597316,-2.5288709466548305
0.61,1.4095176348397551,-2.55504411993511
0.62,1.4069948593236126,-2.5865406500578434
0.63,1.4059314513077892,-2.6223268939952886
0.64,1.4066934912993605,-2.6604131071106387
0.65,1.4092008770189568,-2.6996008447347584
0.66,1.412911125447654,-2.740079821383652
0.67,1.4171797186068031,-2.782242786671099
0.68,1.4216521307041587,-2.8255400820351366
0.6900000000000001,1.4261775875979963,-2.868426387490096
0.7000000000000001,1.4307326296154241,-2.908841726060504
0.71,1.4357082798083836,-2.945083915914564
0.72,1.441737101198832,-2.9767631180470335
0.73,1.448821489835426,-3.0050561898650745
0.74,1.4558601053944833,-3.032239045154007
