time,ML,AP
0.0,1.3856962507039587,0.5186781573010809
0.01,1.4238438311335129,0.6249823360780137
0.02,1.459905175752772,0.7238793470421626
0.03,1.4937705632863472,0.8102560661767615
0.04,1.5260531373058137,0.8812833595744368
0.05,1.5574092379402358,0.9364400042953975
0.06,1.5878448985213351,0.9771245174353325
0.07,1.6167695035515008,1.0061823795015628
0.08,1.6434348280316504,1.027006980954169
0.09,1.6672447756856095,1.0424852651032126
0.1,1.687926019295819,1.0545303870851992
0.11,1.7056765040627633,1.063925053885755
0.12,1.7211388445433873,1.070227616306913
0.13,1.7350587118622998,1.0725517095803987
0.14,1.7479844983058206,1.0710031071417725
0.15,1.7601533686493254,1.0670756579568492
0.16,1.771338647422172,1.0626688472490418
0.17,1.7809438042541164,1.0590056941955373
0.18,1.7885076895963845,1.0561741352234477
0.19,1.7939634042137953,1.0532767364483242
0.2,1.7974297581489085,1.0492863550331377
0.21,1.7991440333027449,1.0440330731941245
0.22,1.7995351055156168,1.0381673948201415
0.23,1.7991225860277242,1.0323099511049632
0.24,1.7984904236430916,1.0264436018313547
0.25,1.7983085946707513,1.0201332175871471
0.26,1.7992180675360312,1.0133000872275644
0.27,1.8016730084720372,1.0063624505759916
0.28,1.8057073014327332,0.9995764514358798
0.29,1.8107136459095552,0.9926741871862006
0.3,1.8155132596562849,0.98514430093589
0.31,1.8187729422125796,0.9766866388642776
0.32,1.8195471064286128,0.967324734664944
0.33,1.8175525361335363,0.9569917799019929
0.34,1.8130268457008811,0.9452658642520109
0.35000000000000003,1.806588783948264,0.9319847541863071
0.36,1.7993292077099174,0.9179596729852741
0.37,1.7926537755535634,0.9047456221062408
0.38,1.7876848199371995,0.8937869526818341
0.39,1.7848084012384604,0.885611889217323
0.4,1.7837003409028749,0.8798046411462698
0.41000000000000003,1.7835398275022234,0.8758345619245964
0.42,1.7832753430419437,0.8733025207929871
0.43,1.7819602451935133,0.8712123171124516
0.44,1.7790865425298286,0.8677693487504907
0.45,1.7748746834389781,0.8611630949457242
0.46,1.7701365967595122,0.850429745939532
0.47000000000000003,1.7657041500337958,0.8359050375775362
0.48,1.7621130702049925,0.8189622605777251
0.49,1.7594553418739574,0.801065586720217
0.5,1.7571214405528666,0.7833488219157153
0.51,1.753971826368385,0.7671670806501613
0.52,1.7489529038579628,0.7539780919171527
0.53,1.7414345040061394,0.7442233616918618
0.54,1.7311055956653572,0.7370888068401431
0.55,1.717867092299387,0.7311714315061608
0.56,1.7018713203259954,0.7247403675758214
0.5700000000000001,1.683533779480716,0.7160385475355153
0.58,1.6635137073809976,0.7039842809631117
0.59,1.6426091863115468,0.6883490508012121
0.6,1.621437984161823,0.6695857341925318
0.61,1.6002255332391209,0.6487886157073871
0.62,1.5790314386858022,0.6272459666241409
0.63,1.5579965592288607,0.6062158253496489
0.64,1.537236115071961,0.5874154762569358
0.65,1.51679550085322,0.5728823017586983
0.66,1.4968344005496708,0.5639884324714614
0.67,1.477723021863768,0.5607323283155824
0.68,1.4599855458166386,0.5618182244814932
0.6900000000000001,1.4441094340920029,0.5652080924825852
0.7000000000000001,1.430322847026446,0.5685424795336586
0.71,1.4184826327098081,0.5694648473318177
0.72,1.4081501656376194,0.5661205106014092
0.73,1.3987905295223744,0.557715425185288
0.74,1.3897811741060349,0.5446994508666816
0.75,1.3804064493566024,0.5282370056517453
0.76,1.3701446934765318,0.5092927782799445
0.77,1.358894183941632,0.48818909922459147
0.78,1.346926470129798,0.4654311636143153
0.79,1.334754910595178,0.4429247605924242
0.8,1.3229847367102592,0.423923563343081
0.81,1.3120521039101405,0.41180335192256373
0.8200000000000001,1.3019379062656113,0.40882036091140483
0.8300000000000001,1.292178150888371,0.415769520169563
0.84,1.2821996067901447,0.4322602279427023
0.85,1.2716544882266656,0.4566375496227179
0.86,1.26049583784022,0.48594251950184075
0.87,1.2487711145297749,0.5168260867426452
0.88,1.2364173344485163,0.5469716440467634
0.89,1.22336734515351,0.5757485165867154
0.9,1.2098045265001076,0.603575109843505
0.91,1.1962497730689756,0.6307155800557576
0.92,1.1835059901917517,0.6566405846956375
0.93,1.1724717746080509,0.6802206688540463
0.9400000000000001,1.1637820985586869,0.7001055290102869
0.9500000000000001,1.1575668626054503,0.715100702300634
0.96,1.1535783574615979,0.7245332843246433
0.97,1.1514924612216502,0.7282807329219096
0.98,1.1510118295869298,0.7269717218180693
0.99,1.1516555529130506,0.72264038351103
1.0,1.1526436722356568,0.7186546449218758
1.01,1.1532481942767794,0.7186266513188844
1.02,1.1531682823798406,0.7254525201864424
1.03,1.1525513000304175,0.7407540764571782
1.04,1.151883863112486,0.7644191019235019
1.05,1.1517915673217702,0.7948038250903234
1.06,1.1528343605475588,0.8298110615922564
1.07,1.1554957123820329,0.8677807400198139
1.08,1.1600808995695437,0.9074911414706381
1.09,1.1664064702625916,0.9480190146760231
1.1,1.173767221694575,0.9888299066053088
1.11,1.1814156036531458,1.0295526871197493
1.12,1.189067690468309,1.0698827773211206
1.1300000000000001,1.1968381085385393,1.1097864337131924
1.1400000000000001,1.204741470669187,1.1492536686098753
1.1500000000000001,1.2124065585316937,1.1880354610339814
1.16,1.2192677156088068,1.2258459572758449
1.17,1.2249039453109256,1.262604597948437
1.18,1.22918669525261,1.2987177682430147
1.19,1.2322880473117315,1.3349781927055624
1.2,1.234627989886004,1.3717487535210073
1.21,1.2367640129305593,1.40835017026316
1.22,1.2393685473018496,1.4433566874915442
1.23,1.2432254311726865,1.4755968003870008
1.24,1.2490624182578036,1.5048742424354322
1.25,1.2573288027758374,1.5316691204063395
1.26,1.2680822578322974,1.5564821499403132
1.27,1.2810067393399118,1.5797251659687175
1.28,1.2955407724922985,1.6021718091406056
1.29,1.31108745750146,1.6252971244707393
1.3,1.3270112759668806,1.6509618662422807
1.31,1.342395971683684,1.6808170886729499
1.32,1.3562334136417968,1.716069566948337
1.33,1.3679648899635064,1.757303086081536
1.34,1.3774712849954807,1.803950409974426
1.35,1.3845175725765875,1.8541616769344464
1.36,1.3884683862169394,1.9053401448324951
1.37,1.388686378172032,1.9544073862188767
1.3800000000000001,1.3852569364956164,1.9978922434840078
1.3900000000000001,1.3792510759079932,2.0326279371447025
1.4000000000000001,1.3721156312486587,2.0565049020077315
1.41,1.3648237586714111,2.068612295372874
1.42,1.3577795974959193,2.069303686226079
1.43,1.3513014359314712,2.060437661071735
1.44,1.3458509298383023,2.0450904299698296
1.45,1.3421139249439924,2.026491534264349
1.46,1.3410274596169487,2.0070367973176766
1.47,1.3433812879600193,1.9881850870360318
1.48,1.349363140801463,1.9706434770798749
1.49,1.3585467036581647,1.9541313650953755
1.5,1.3700760435335573,1.937717717825712
1.51,1.382599293230945,1.9208807259331404
1.52,1.3942170407327326,1.9035080393232922
1.53,1.4030364794745573,1.8849219431471298
1.54,1.407892988223778,1.8636646190526966
1.55,1.4084841173073908,1.838310978883735
1.56,1.4051192574278992,1.8082952869778526
1.57,1.3983774918210945,1.773751810360766
1.58,1.3887215538729234,1.7348190703155868
1.59,1.37634545846508,1.6913683801853523
1.6,1.3613775032082038,1.6435014264852241
1.61,1.3439658622589319,1.5920230774791921
1.62,1.3242276880429216,1.538414822544638
1.6300000000000001,1.3024344051533026,1.4842318440501923
1.6400000000000001,1.2792577875713025,1.430374650920502
1.6500000000000001,1.255771263824448,1.377165931277768
1.6600000000000001,1.233432933830524,1.3248303674734674
1.67,1.2140487247634406,1.2733543245161647
1.68,1.199255205402747,1.2220808886114154
1.69,1.18971761897856,1.1697627728738962
1.7,1.1848266335004,1.1150628288844027
1.71,1.1829757941506553,1.0570360602455546
1.72,1.1819545906433981,0.9950748984814898
1.73,1.1794962607916657,0.9285848684013187
1.74,1.1739643692872495,0.857255950871485
1.75,1.164608293021888,0.781895782025375
1.76,1.1513372155449002,0.7046825399835833
1.77,1.1345628927576366,0.628352821743326
1.78,1.1150928935810829,0.5552345160799784
1.79,1.093708657979877,0.48669461569043176
1.8,1.0708036680586153,0.4228947114814617
1.81,1.0466120567589599,0.36301959100906794
1.82,1.021606315189159,0.30579711208687865
1.83,0.9964985448346988,0.2500032206676661
1.84,0.9721171754930882,0.19475339307830183
1.85,0.9493841507597756,0.1393316838451925
1.86,0.9290979237160443,0.08315097623936259
1.87,0.9116232273019351,0.02605601703359027
