time,ML,AP
0.0,0.48127322237731485,0.41186489471344345
0.01,0.4791252333458508,0.34783025989037963
0.02,0.47973827796590496,0.28706185637189174
0.03,0.4862959634404446,0.23081431076980663
0.04,0.5004654133176201,0.1799463246859904
0.05,0.5230362481555421,0.13441702616044246
0.06,0.5539189939141556,0.09338678413834764
0.07,0.5920743778747923,0.055572338760778515
0.08,0.635895634214783,0.019826353694758117
0.09,0.6835438136659557,-0.014343221657734734
0.1,0.7331882084402294,-0.04697101252134593
0.11,0.783374145417502,-0.07788130112486188
0.12,0.8332536542759935,-0.10654048848046643
0.13,0.8823262768348602,-0.13223486686477975
0.14,0.9298366930882512,-0.15464860367159833
0.15,0.9745830082733768,-0.17405867798649027
0.16,1.0154258783571084,-0.19101514745735823
0.17,1.051912421064739,-0.20628124425050476
0.18,1.0844513424381923,-0.2213335416905074
0.19,1.1139021110083764,-0.23841313708969894
0.2,1.1410559296982088,-0.25937630750842267
0.21,1.1665367335805035,-0.2845964959194317
0.22,1.190804853016901,-0.31301620390659507
0.23,1.214074112865477,-0.34255869706323744
0.24,1.2365405955753432,-0.37061498805047555
0.25,1.2587227100812879,-0.3951802137170282
0.26,1.2814197220490047,-0.41580103446017647
0.27,1.3053636354553173,-0.4331638954628181
0.28,1.3308204959743275,-0.4481229535260933
0.29,1.3573868868071488,-0.4614267474042137
0.3,1.3841232599174946,-0.4739227099019558
0.31,1.4099182395570988,-0.48636083110519035
0.32,1.4339472745713338,-0.49868785865771936
0.33,1.4558026111048263,-0.5097306304225859
0.34,1.4750431320652182,-0.517789797183504
0.35000000000000003,1.4910165244975386,-0.5214838370006132
0.36,1.5034832601790975,-0.5202173296196091
0.37,1.5130009117840606,-0.5143493571240224
0.38,1.5204887010405936,-0.5051808333479391
0.39,1.5267608251841467,-0.4947038037718031
0.4,1.5323851192210614,-0.4848595361063155
0.41000000000000003,1.5376340093884378,-0.47652621921579114
0.42,1.5425023366249322,-0.46947028839882743
0.43,1.5467203934900051,-0.46324075352190164
0.44,1.5497753513316515,-0.4575765126781051
0.45,1.5511327952487963,-0.4524531249846078
0.46,1.5504683477833208,-0.44821227300124944
0.47000000000000003,1.5475911281939811,-0.44493584153705334
0.48,1.5422583053312777,-0.44160732478242215
0.49,1.5341625177383937,-0.43670625349937686
0.5,1.5230924995714115,-0.4295035653233795
0.51,1.5092512364469943,-0.4202121946621907
0.52,1.4934989179814533,-0.4094623483006735
0.53,1.477137283130312,-0.39819217172599064
0.54,1.4614249861360082,-0.38736231770239626
0.55,1.4472745303419523,-0.37730735473240556
0.56,1.4352567747099678,-0.3676256429693584
0.5700000000000001,1.425821253936433,-0.35755678298099053
0.58,1.4193459077287742,-0.34617948146258226
0.59,1.4159134800295932,-0.3324336115162151
0.6,1.4151704112708512,-0.31550884765942067
0.61,1.4163938945642014,-0.2956833589976948
0.62,1.4186649098977289,-0.27460472169876715
0.63,1.4210384135080063,-0.254306613527624
0.64,1.4227162086070184,-0.23566635404450015
0.65,1.4231559506263662,-0.2178163596425733
0.66,1.4220027183958537,-0.19918161640767099
0.67,1.4190293795774989,-0.1786466378620401
0.68,1.4143020845790641,-0.15556710524445994
0.6900000000000001,1.4083024209663335,-0.12951989357470312
0.7000000000000001,1.4016822087421485,-0.10042083662302603
0.71,1.3949188678594178,-0.06854543192465687
0.72,1.388048542498004,-0.03452399901332133
0.73,1.3805028178306535,0.0004090593541691617
0.74,1.37139125874118,0.03440176927323945
0.75,1.3600723784892033,0.06561135301137908
0.76,1.3464407334046005,0.09271871932999558
